x0,x1,x2,x3,x4,x5,x6,x7,y
5,2.0,9.0,A2,A107,A29,360.0,510.0,-30.0
5,1.0,23.0,A4,A45,A58,600.0,778.0,6.0
5,10.0,4.0,A0,A108,A107,935.0,1000.0,18.0
5,12.0,10.0,A1,A58,A55,635.0,715.0,-9.0
5,1.0,4.0,A0,A61,A30,785.0,850.0,100.0
5,10.0,18.0,A0,A109,A105,525.0,620.0,-20.0
5,11.0,21.0,A2,A66,A28,805.0,1279.0,-22.0
5,11.0,20.0,A3,A34,A73,1204.0,1383.0,
5,6.0,29.0,A2,A84,A29,360.0,448.0,-10.0
5,6.0,9.0,A7,A60,A84,580.0,679.0,-16.0
5,10.0,25.0,A2,A110,A108,1091.0,1164.0,-15.0
5,10.0,31.0,A3,A111,A109,492.0,690.0,-19.0
5,5.0,19.0,A12,A10,A110,1168.0,1268.0,-1.0
5,12.0,20.0,A0,A2,A45,1100.0,1265.0,30.0
5,10.0,12.0,A6,A112,A42,760.0,,-20.0
5,5.0,4.0,A8,A11,A56,1045.0,,-6.0
5,2.0,6.0,A12,A30,A10,362.0,870.0,-14.0
5,6.0,23.0,A0,,A111,1325.0,,-1266.0
5,10.0,20.0,A12,A111,A107,1160.0,1279.0,-2.0
5,5.0,20.0,A2,A113,A52,1005.0,1138.0,-9.0
5,10.0,1.0,A12,A75,A112,529.0,,7.0
5,1.0,11.0,A7,A114,A78,835.0,989.0,-8.0
5,11.0,17.0,A6,,A19,870.0,1069.0,2.0
5,12.0,26.0,A8,A28,A86,855.0,965.0,-11.0
5,5.0,25.0,A0,A4,A11,560.0,635.0,-9.0
5,12.0,17.0,A5,A115,A19,1104.0,1164.0,34.0
5,3.0,23.0,A4,A12,A113,674.0,743.0,-4.0
5,8.0,19.0,A6,A47,A19,465.0,567.0,26.0
5,7.0,19.0,A2,A7,A29,870.0,1335.0,-8.0
5,12.0,15.0,A5,A13,A57,720.0,816.0,-10.0
5,3.0,8.0,A0,A66,A98,1185.0,,
5,5.0,27.0,A8,A19,A39,575.0,1065.0,-9.0
5,7.0,29.0,A4,A4,A114,1080.0,1265.0,71.0
5,12.0,3.0,A5,A13,A115,1015.0,1133.0,11.0
5,2.0,11.0,A3,A116,A8,798.0,877.0,-15.0
5,8.0,19.0,A12,A34,A0,779.0,,-11.0
5,5.0,20.0,A0,A4,A116,1210.0,1380.0,-19.0
5,7.0,28.0,A0,A2,A41,420.0,510.0,-12.0
5,11.0,12.0,A1,A52,A117,1190.0,1366.0,-15.0
5,11.0,12.0,A3,,A16,604.0,614.0,33.0
5,9.0,27.0,A6,A54,A19,460.0,569.0,-10.0
5,11.0,26.0,A6,A14,A9,635.0,859.0,-12.0
5,9.0,24.0,A6,A35,A0,435.0,510.0,-12.0
5,6.0,13.0,A1,A10,A41,510.0,681.0,-22.0
5,5.0,28.0,A2,A2,A23,374.0,530.0,-8.0
5,2.0,19.0,A1,A5,A54,1250.0,100.0,67.0
5,10.0,18.0,A6,A41,A107,950.0,1006.0,13.0
5,12.0,20.0,A12,A34,A49,410.0,,-17.0
5,7.0,29.0,A0,A10,A29,720.0,885.0,-2.0
5,6.0,16.0,A3,A14,A75,783.0,964.0,33.0
5,5.0,13.0,A8,A30,A86,775.0,875.0,-8.0
5,7.0,11.0,A2,A94,A52,510.0,619.0,-4.0
5,7.0,29.0,A6,A4,A45,760.0,853.0,3.0
5,2.0,21.0,A3,A6,A118,1055.0,1110.0,-3.0
5,5.0,26.0,A0,A38,A0,910.0,975.0,8.0
5,11.0,22.0,A1,,A55,380.0,461.0,-13.0
5,5.0,10.0,A12,A11,A10,505.0,1014.0,-15.0
5,9.0,30.0,A2,A9,A60,530.0,607.0,-7.0
5,9.0,13.0,A0,A56,A29,440.0,880.0,-19.0
5,11.0,29.0,A9,,A59,620.0,826.0,38.0
5,7.0,13.0,A0,A58,A23,1135.0,1300.0,36.0
5,3.0,19.0,A12,A30,A41,1205.0,1297.0,-3.0
5,1.0,19.0,A12,,A40,1270.0,1329.0,6.0
5,3.0,14.0,A2,A24,A8,600.0,655.0,-9.0
5,1.0,26.0,A0,A56,A11,885.0,970.0,-14.0
5,4.0,23.0,A1,A5,A49,1202.0,1385.0,53.0
5,5.0,8.0,A8,A117,A119,445.0,543.0,0.0
5,2.0,23.0,A7,,A18,485.0,622.0,25.0
5,4.0,22.0,A6,A23,A28,530.0,768.0,3.0
5,10.0,9.0,A6,A118,A96,678.0,754.0,-4.0
5,3.0,26.0,A8,A7,A35,545.0,702.0,-18.0
5,4.0,25.0,A3,,A44,715.0,830.0,27.0
5,10.0,31.0,A0,A44,A120,850.0,915.0,-11.0
5,11.0,18.0,A2,A12,A52,1180.0,1340.0,17.0
5,9.0,8.0,A0,A28,A0,1015.0,1095.0,22.0
5,8.0,29.0,A3,,A29,335.0,446.0,40.0
5,7.0,25.0,A0,A45,A121,1045.0,1335.0,-19.0
5,10.0,30.0,A0,A121,A122,740.0,780.0,-13.0
5,1.0,7.0,A0,A122,A37,500.0,570.0,-11.0
5,1.0,9.0,A2,A9,A123,649.0,718.0,6.0
5,10.0,5.0,A2,A123,A124,605.0,781.0,10.0
5,10.0,27.0,A0,A110,A125,845.0,925.0,-6.0
5,7.0,5.0,A6,,A55,1260.0,1346.0,73.0
5,7.0,24.0,A0,,A80,915.0,1120.0,-19.0
5,12.0,22.0,A12,A30,A55,790.0,1305.0,-25.0
