Zip,Total Population,Total Population of One Race,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,Total Population of Two or More Races
ZCTA5 90277,35293,33570,28052,735,137,3552,303,649,458,1123,553,152,314,65,23,10,13,19,1029,1723
ZCTA5 90278,40071,37519,28590,1270,182,5428,480,1281,827,1060,609,495,676,145,36,39,41,29,1904,2552
ZCTA5 90280,94396,90868,47645,890,878,732,95,50,223,39,176,11,138,99,21,15,44,19,40624,3528
ZCTA5 90290,6368,6103,5692,84,31,201,25,51,14,47,38,6,20,2,1,0,0,1,93,265
ZCTA5 90291,28341,27048,21817,1491,197,1251,145,265,204,243,161,62,171,50,19,4,10,17,2242,1293
ZCTA5 90292,21576,20648,17049,1053,58,2000,272,489,217,443,322,67,190,33,8,10,7,8,455,928
ZCTA5 90293,12132,11479,9220,692,35,1211,173,287,200,236,154,48,113,21,12,4,1,4,300,653
ZCTA5 90301,36568,35055,11201,11826,315,742,123,39,329,58,11,14,168,52,5,1,9,37,10919,1513
ZCTA5 90302,29415,28099,5991,14706,185,371,50,34,147,61,20,12,47,74,3,11,6,54,6772,1316
ZCTA5 90303,26176,25111,6449,9097,165,165,42,19,54,13,7,1,29,182,0,2,15,165,9053,1065
ZCTA5 90304,28210,27001,10751,1218,263,339,63,22,143,7,3,12,89,246,11,0,16,219,14184,1209
ZCTA5 90305,14853,14357,817,12436,47,114,10,9,48,18,13,1,15,25,3,0,3,19,918,496
ZCTA5 90401,6722,6420,5085,383,30,704,122,174,83,82,118,29,96,8,2,1,0,5,210,302
ZCTA5 90402,12250,11857,10714,125,17,845,99,360,68,102,116,15,85,14,4,3,2,5,142,393
ZCTA5 90403,24525,23453,20398,461,39,2061,309,691,158,332,312,79,180,23,11,3,2,7,471,1072
ZCTA5 90404,21360,20272,13956,1689,141,2297,227,616,324,423,406,76,225,39,4,1,5,29,2150,1088
ZCTA5 90405,27186,25993,21603,884,114,2256,285,686,209,415,371,90,200,42,11,2,7,22,1094,1193
ZCTA5 90501,43180,40984,18660,2301,281,10221,628,1250,2579,2523,2159,342,740,305,50,12,218,25,9216,2196
ZCTA5 90502,18010,17125,6223,1269,166,6017,143,448,2944,782,1153,202,345,256,32,11,191,22,3194,885
ZCTA5 90503,44383,42256,21370,1113,138,17980,2042,3228,1447,4569,5038,466,1190,107,26,15,36,30,1548,2127
ZCTA5 90504,32102,29843,13272,1247,147,12268,441,1220,1267,4928,1831,1222,1359,188,70,22,73,23,2721,2259
ZCTA5 90505,36678,34763,20709,792,110,12062,968,2121,1031,3543,3382,224,793,106,32,11,36,27,984,1915
ZCTA5 90506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 90601,31974,30332,19625,426,413,1731,83,375,434,461,141,32,205,42,9,17,7,9,8095,1642
ZCTA5 90602,25777,24695,15216,388,387,814,23,228,237,126,87,28,85,34,9,5,15,5,7856,1082
ZCTA5 90603,20063,19230,14889,180,146,1007,49,216,247,203,156,43,93,13,7,2,2,2,2995,833
